model,beta,n_char,p,q,sigma_max,sigma_min,label,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.1,2.1162085987564425,0.18034195092893207,0.5919017170013601,0.4820136825650462,0.2410068412825231,0.29595085850068004,26.906000000000002
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.2,2.473579045905363,0.22163584896667007,0.6944236809111696,0.5139248267273778,0.2569624133636889,0.3472118404555848,24.275999999999996
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.3,2.5567317135319394,0.24251872319095888,0.7082337216184916,0.5285292137819773,0.26426460689098863,0.3541168608092458,20.22800000000001
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.4,3.0106409575343536,0.3063709610811065,0.7987148897277088,0.5158170437327076,0.2579085218663538,0.3993574448638544,19.119
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.5,2.382785543372469,0.23406412070025,0.6979267777152409,0.5011120544421042,0.2505560272210521,0.34896338885762046,18.983999999999995
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.6,2.4220587660699224,0.22328645439070277,0.6911670443334686,0.5032892982646705,0.25164464913233525,0.3455835221667343,18.989999999999995
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.7,2.3169439254433377,0.19366938507475265,0.6626939208541123,0.5115827035800191,0.25579135179000956,0.33134696042705614,19.057000000000016
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.8,2.8878402728185653,0.2921074581988952,0.8076280681058003,0.5476162141900792,0.2738081070950396,0.4038140340529002,18.94999999999999
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.9,2.192961942083377,0.1992645409640074,0.6391652779530118,0.504606949541662,0.252303474770831,0.3195826389765059,19.056999999999988
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.10,3.026688463307087,0.30943850845242754,0.8154754068249205,0.5230255346664883,0.26151276733324413,0.40773770341246024,18.918000000000006
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.11,2.1916481466775477,0.2025588960403011,0.6434849060587725,0.49283435335509324,0.24641717667754662,0.32174245302938626,19.046999999999997
aitchison-model-alpha,beta_sd_1,40,p_2,q_20,sigma_max_5,sigma_min_0.01,"Aitchison (n = 40, q = 20, p = 2, sigma_min = 0.01, sigma_max = 5)",100000,1,Arbel et. al,r1.12,2.8624378189292665,0.29340005603357233,0.8125591025067352,0.5387157184396659,0.26935785921983296,0.4062795512533676,18.966000000000008
