name,label,n,sigma_max,sigma_min,p,q,mm,beta_sd,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.1,0.054690723704227236,0.0034878460128510494,0.04001264303698352,0.0576475808122517,0.02882379040612585,0.02000632151849176,26.046
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.2,0.017902946356049713,9.412690768384226e-4,0.02815429055608288,0.04520250809407089,0.022601254047035446,0.01407714527804144,18.330000000000002
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.3,0.035459984018609246,0.0030654354872841276,0.038309831972744776,0.05272874207321191,0.026364371036605955,0.019154915986372388,17.790999999999997
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.4,0.03217301810623276,0.0018778832019328035,0.0315289843089272,0.04554395248276227,0.022771976241381137,0.0157644921544636,18.017000000000003
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.5,0.03495041916637062,0.0022316522979529785,0.03267562736254596,0.052178629502035105,0.026089314751017553,0.01633781368127298,19.611000000000004
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.6,0.03593740942863656,0.002403000972307181,0.030554181594749704,0.04072180349850797,0.020360901749253986,0.015277090797374852,16.926999999999992
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.7,0.020589004748871372,7.892407226813221e-4,0.01897542651910438,0.03542769797148198,0.01771384898574099,0.00948771325955219,14.88900000000001
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.8,0.03059009134802808,0.001708552355338601,0.03145889144705523,0.04828249542146436,0.02414124771073218,0.015729445723527614,13.705999999999989
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.9,0.040862557231571416,0.003109146062853109,0.04214476313684517,0.053165695273382815,0.026582847636691408,0.021072381568422584,14.97999999999999
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.10,0.027596690047517098,0.0013544186545236259,0.02510673441994938,0.03980310415413199,0.019901552077065995,0.01255336720997469,14.640000000000015
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.11,0.03916396035378954,0.0024581977527095246,0.03510630550733304,0.04830220280086792,0.02415110140043396,0.01755315275366652,14.445999999999998
aitchison-model-alpha/beta_sd_1/n_20/p_2/q_20/sigma_max_0.1/sigma_min_0.01,"Aitchison (n = 20, q = 20, p = 2, sigma_min = 0.01, sigma_max = 0.1)",20,0.1,0.01,2,20,100000,1,arbel,r1.12,0.017364468503557003,8.614844349335429e-4,0.022586537070555964,0.037998124719013066,0.018999062359506533,0.011293268535277982,13.781000000000006
