model,beta,n,p,q_char,sigma_max,sigma_min,Method,Draw,mse_loss_shannon,mse_loss_simpson,mse_loss_euclidean,mse_loss_bray_curtis,mse_loss_bray_curtis_subset,mse_loss_euclidean_subset,time
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.1,12.84680517294276,0.5206304473827603,1.2145019694825636,0.6848021682235963,0.34240108411179815,0.6072509847412818,64.875
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.2,12.915054534404819,0.5294667314260597,1.2218525762698975,0.6812367049561535,0.34061835247807676,0.6109262881349488,59.09899999999999
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.3,13.150022722575558,0.5444798050250165,1.2250069448486223,0.6853535064542338,0.3426767532271169,0.6125034724243111,58.909000000000006
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.4,12.35533491629517,0.47690322589075046,1.1504589113654,0.6747349375882314,0.3373674687941157,0.5752294556827,58.77099999999999
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.5,13.11991654355625,0.5460356824440155,1.2429585912560246,0.6819544037852109,0.34097720189260544,0.6214792956280123,58.86400000000003
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.6,13.455668490106575,0.5823573577983658,1.2919874294015699,0.6817912433311499,0.34089562166557497,0.6459937147007849,58.40999999999997
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.7,13.21863670690907,0.5589527875965943,1.281846815329465,0.6811033062998952,0.3405516531499476,0.6409234076647325,58.577
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.8,13.428809843541535,0.56436242355184,1.2742485281343734,0.6835272526044472,0.3417636263022236,0.6371242640671867,58.735000000000014
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.9,15.044760637634775,0.7414534590860062,1.484756630228249,0.6731716921579388,0.3365858460789694,0.7423783151141246,63.206999999999994
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.10,13.846735374777417,0.600146800070762,1.3414493915071983,0.6827265048354489,0.34136325241772447,0.6707246957535992,73.55700000000002
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.11,13.70843704520859,0.5831416884047813,1.289840595738792,0.6762441369921612,0.3381220684960806,0.644920297869396,70.60199999999998
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.12,12.659325912329484,0.5054590757117903,1.1697993696210982,0.6818734766312803,0.34093673831564014,0.5848996848105491,71.44399999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.13,12.506312583220112,0.4680612634579372,1.1463061669554158,0.6643226666966152,0.3321613333483076,0.5731530834777079,63.778999999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.14,14.776714700345709,0.7306770268236558,1.450170360170522,0.6771981460659287,0.3385990730329643,0.725085180085261,62.49300000000005
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.15,13.386250502555617,0.557264535612908,1.27858500406183,0.6815080234033312,0.3407540117016656,0.639292502030915,62.664999999999964
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.16,14.110640627937524,0.6598075424556974,1.392307235734562,0.6831423737411457,0.34157118687057286,0.696153617867281,63.028999999999996
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.17,12.859662878386272,0.4917032409215557,1.1638552054952684,0.6769711664340271,0.33848558321701355,0.5819276027476342,63.26800000000014
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.18,13.434949346121817,0.5638322505559487,1.274268927900908,0.6824368598948393,0.34121842994741963,0.637134463950454,63.34299999999985
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.19,13.57904455415033,0.5929052975677862,1.2999828759629655,0.6790656017467599,0.33953280087337995,0.6499914379814827,66.65000000000009
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.20,13.25070316156879,0.5764979409605823,1.2706046979194139,0.6824236042844314,0.3412118021422157,0.6353023489597069,72.80299999999988
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.21,13.24153129197089,0.5380619250186106,1.2512744444432509,0.6834966247919088,0.3417483123959544,0.6256372222216254,72.20000000000005
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.22,12.345174594227295,0.4558587554938833,1.1222921292777572,0.6663259326114475,0.33316296630572373,0.5611460646388786,71.98400000000015
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.23,13.3871109478971,0.5589702329928931,1.2440592270187112,0.6823522787408879,0.34117613937044394,0.6220296135093556,72.26599999999985
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.24,12.874646068176727,0.5236622508243808,1.2414553621147002,0.6712415154267766,0.3356207577133883,0.6207276810573501,72.62000000000012
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.25,13.717432892965082,0.6074398045270791,1.3175165544262928,0.6803936111017713,0.34019680555088566,0.6587582772131464,73.36899999999991
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.26,11.791699375225205,0.4592938503866635,1.0967400258341586,0.6681826021681891,0.33409130108409457,0.5483700129170793,72.96000000000004
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.27,13.462263148772209,0.5969713250861091,1.2809824382888697,0.6718611713060457,0.33593058565302286,0.6404912191444349,73.80299999999988
aitchison-model-alpha,beta_sd_1,n_20,p_2,100,sigma_max_5,sigma_min_0.01,Arbel et. al,r1.28,13.251107003587482,0.5499911634037796,1.2593417364271964,0.6817432493082346,0.3408716246541173,0.6296708682135982,73.49400000000014
