	Domain	Phylum	Class	Order	Family	Genus	Species
ASV_3	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_1	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_4	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Limimonas	Limimonas_halophila
ASV_2	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
ASV_5	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_8	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_7	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	Methyloligella_solikamskensis
ASV_10	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_11	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_12	Bacteria						
ASV_15	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_13	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_14	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_16	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_17	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_18	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_20	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales			
ASV_19	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_21	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_22	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Hyphomicrobium	
ASV_23	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_24	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_25	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae	Fulvivirga	
ASV_26	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_29	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_aerolata
ASV_28	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_27	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_30	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_33	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_32	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Pedomicrobium_manganicum
ASV_34	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Salinicola	Salinicola_salarius
ASV_31	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_35	Bacteria	Acidobacteria	Acidobacteria_Gp17	Gp17			
ASV_36	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_38	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_37	Bacteria	Proteobacteria					
ASV_39	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_40	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira	
ASV_41	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_42	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales			
ASV_43	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_45	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_44	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Lacibacterium	Lacibacterium_aquatile
ASV_46	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_47	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_48	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_52	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_49	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_50	Bacteria	Proteobacteria					
ASV_51	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_53	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_55	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Desulfuromonadaceae	Desulfuromonas	
ASV_54	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae		
ASV_56	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae		
ASV_57	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_59	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_58	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_61	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales			
ASV_60	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_62	Bacteria	Proteobacteria	Alphaproteobacteria				
ASV_63	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_64	Bacteria	Firmicutes					
ASV_65	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_66	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_67	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_68	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	Thioprofundum_hispidum
ASV_69	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_70	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_71	Bacteria	Firmicutes					
ASV_72	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira	Nitrosospira_multiformis
ASV_73	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Thioalkalispiraceae	Thioprofundum	
ASV_74	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Skermanella	Skermanella_aerolata
ASV_76	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_75	Bacteria						
ASV_77	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_78	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_79	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Burkholderia	
ASV_82	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales			
ASV_80	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_81	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_83	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Pelagibius	Pelagibius_litoralis
ASV_84	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
ASV_85	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_86	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_87	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_88	Bacteria	Acidobacteria	Acidobacteria_Gp21	Gp21			
ASV_90	Bacteria	Acidobacteria	Acidobacteria_Gp21	Gp21			
ASV_89	Bacteria	Firmicutes					
ASV_91	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_92	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter_aganoensis
ASV_93	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_94	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_96	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_95	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales			
ASV_97	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_98	Bacteria	Nitrospinae	Nitrospinia	Nitrospinales	Nitrospinaceae	Nitrospina	
ASV_99	Bacteria						
ASV_101	Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Flammeovirgaceae		
ASV_100	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales			
ASV_102	Bacteria						
ASV_104	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_103	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus_taiwanensis
ASV_105	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Erythrobacteraceae	Erythrobacter	Erythrobacter_pelagi
ASV_108	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_106	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae		
ASV_107	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_109	Bacteria	Acidobacteria					
ASV_110	Bacteria	Planctomycetes	Planctomycetia	Planctomycetales	Planctomycetaceae	Blastopirellula	
ASV_111	Bacteria	Actinobacteria	Actinobacteria	Solirubrobacterales			
ASV_113	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_112	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_114	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Aminobacter	Aminobacter_anthyllidis
ASV_117	Archaea	Euryarchaeota	Thermoplasmata				
ASV_116	Bacteria	Proteobacteria					
ASV_115	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_118	Bacteria	Proteobacteria					
ASV_119	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_121	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_120	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Halomonadaceae	Halomonas	Halomonas_alkaliphila
ASV_122	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		
ASV_123	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_124	Bacteria	Acidobacteria	Acidobacteria_Gp9	Gp9			
ASV_125	Bacteria						
ASV_126	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhodobiaceae	Methyloligella	Methyloligella_solikamskensis
ASV_129	Bacteria	Acidobacteria	Acidobacteria_Gp16				
ASV_128	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Hyphomicrobiaceae	Pedomicrobium	Pedomicrobium_manganicum
ASV_127	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales			
ASV_131	Archaea	Thaumarchaeota	Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus		
ASV_130	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_133	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae		
ASV_132	Bacteria	Proteobacteria	Gammaproteobacteria				
ASV_135	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Saprospiraceae		
ASV_134	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae		
