name,label,n,q,mm,gamma1,sigma_min,sigma_max,Method,Draw,mse_loss_shannon,time
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.1,5.126814465171451,28.60900000000038
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.2,6.008622784580638,27.86700000000019
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.3,5.754264709374076,27.449000000000524
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.4,4.882790512638996,27.46099999999933
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.5,4.248980945609108,28.325999999999112
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.6,4.333092414479427,27.710000000000946
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.7,5.329603903942069,27.570999999999913
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.8,4.887946297333788,27.41899999999987
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.9,5.063842379189543,27.798000000000684
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.10,4.445897651731035,27.64300000000003
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.11,4.950656237604137,27.50199999999859
nonlinear-aitchison/gamma1_0.125/n_20/q_40/sigma_max_5/sigma_min_0.01,"Nonlinear (n = 20, q = 40, gamma1 = 0.125)",20,40,100000,0.125,0.01,5,arbel-linear,r1.12,4.977227256686688,27.533000000001266
